id,name,url,country,country_es,iso2,continent,service_type,registration,capability_text,capability_image,capability_voice,capability_files,capability_web_search,status,last_manual_verification,operator_country,duplicate_of,country_confidence
de-textcortex,TextCortex,https://app.textcortex.com/c,Germany,Alemania,DE,Europe,assistant,required,true,,,,,ACTIVE,2026-09-10,Germany,,verified
de-privatemode-chat,PrivateMode Chat,https://chat.privatemode.ai/,Germany,Alemania,DE,Europe,assistant,optional,true,,,true,,ACTIVE,2026-09-10,,,curator-verified
ar-aki-agent,Aki Agent,https://aki.ar/projects?projectId=3672,Argentina,Argentina,AR,South America,agent,required,true,,,,true,ACTIVE,2026-09-10,Argentina,,verified
at-comfyai,ComfyAI,https://comfyai.de/app/,Austria,Austria,AT,Europe,assistant,optional,true,,,,,ACTIVE,2026-09-10,,,verified
br-maritaca,Maritaca,https://chat.maritaca.ai/,Brazil,Brasil,BR,South America,model-chat,unknown,true,,true,true,true,ACTIVE,2026-09-10,Brazil,,verified
bg-bggpt,BgGPT,https://bggpt.ai/,Bulgaria,Bulgaria,BG,Europe,model-chat,unknown,true,,,,,ACTIVE,2026-09-10,Bulgaria,,verified
ca-cohere,Cohere,https://dashboard.cohere.com/playground/chat,Canada,Canadá,CA,North America,playground,required,true,,,,,ACTIVE,2026-09-10,Canada,,verified
ca-chat-jimmy,Chat Jimmy,https://chatjimmy.ai/,Canada,Canadá,CA,North America,assistant,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
ca-augure,Augure,https://chat.augureai.ca/chat,Canada,Canadá,CA,North America,workspace,required,true,,,true,true,ACTIVE,2026-09-10,Canada,,verified
cl-copuchat,Copuchat,https://copuchat.latamgpt.org/,Chile,Chile,CL,South America,model-chat,none,true,,,,,ACTIVE,2026-09-10,Chile,,verified
cn-deepseek,DeepSeek,https://chat.deepseek.com/,China,China,CN,Asia,model-chat,required,true,,,true,true,ACTIVE,2026-09-10,,,curator-verified
cn-dola,Dola,https://www.dola.com/chat,China,China,CN,Asia,assistant,unknown,true,,,,,ACTIVE,2026-09-10,Singapore,,curator-verified
cn-ernie,ERNIE,https://ernie.baidu.com/,China,China,CN,Asia,assistant,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
cn-kimi-ai,Kimi AI,https://www.kimi.com/chat/history,China,China,CN,Asia,assistant,required,true,true,,,true,ACTIVE,2026-09-10,China,,verified
cn-manus,Manus,https://manus.im/app,China,China,CN,Asia,agent,unknown,true,true,,,true,ACTIVE,2026-09-10,,,curator-verified
cn-minimax,MiniMax,https://www.minimax.io/,China,China,CN,Asia,assistant,unknown,true,,,,,ACTIVE,2026-09-10,Singapore,,curator-verified
cn-qwen,Qwen,https://chat.qwen.ai/,China,China,CN,Asia,assistant,required,true,,,,,ACTIVE,2026-09-10,Singapore,,curator-verified
cn-xiaomi-mimo-studio,Xiaomi MiMo Studio,https://aistudio.xiaomimimo.com/,China,China,CN,Asia,playground,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
cn-z-ai,Z.ai,https://chat.z.ai/,China,China,CN,Asia,assistant,unknown,true,,,,true,ACTIVE,2026-09-10,,,curator-verified
cn-tencent-ai-studio,Tencent AI Studio,https://aistudio.tencent.com/,China,China,CN,Asia,playground,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
cn-tencent-ai-studio-international,Tencent AI Studio International,https://aistudio.tencent.ai/,China,China,CN,Asia,playground,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
ec-yachaq-ai,YACHAQ AI,https://yachaq.ai/,Ecuador,Ecuador,EC,South America,model-chat,none,true,,,,,ACTIVE,2026-09-10,Ecuador,,verified
ae-falcon-llm-chat,Falcon LLM Chat,https://chat.falconllm.tii.ae/anonymous-chat,United Arab Emirates,Emiratos Árabes Unidos,AE,Asia,model-chat,none,true,,,,,ACTIVE,2026-09-10,,,curator-verified
es-luzia,Luzia,https://chat.luzia.com/es,Spain,España,ES,Europe,assistant,unknown,true,true,true,true,true,ACTIVE,2026-09-10,,,curator-verified
fr-le-chat,Le Chat,https://chat.mistral.ai/chat,France,Francia,FR,Europe,assistant,optional,true,true,,true,true,ACTIVE,2026-09-10,France,,verified
in-kruti,Kruti,https://www.kruti.ai/,India,India,IN,Asia,assistant,unknown,true,,,,,INACTIVE,2026-09-15,,,curator-verified
id-sahabat-ai,Sahabat-AI,https://chat.sahabat-ai.com/dashboard,Indonesia,Indonesia,ID,Asia,model-chat,unknown,true,,,,,ACTIVE,2026-09-10,Indonesia,,verified
it-crystal,Crystal,https://agent.crystal.ai/,Italy,Italia,IT,Europe,assistant,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
it-chatminerva,ChatMinerva,https://chatminerva.org/,Italy,Italia,IT,Europe,model-chat,unknown,true,,,,,ACTIVE,2026-09-10,,,curator-verified
jp-felo,Felo,https://felo.ai/es/search,Japan,Japón,JP,Asia,search-assistant,unknown,true,,,,,ACTIVE,2026-09-10,Japan,,verified
ma-chatyfai,ChatyfAI,https://chatyfai.com/en/chat,Morocco,Marruecos,MA,Africa,multi-model-platform,required,true,true,,,true,ACTIVE,2026-09-10,Morocco,,verified
no-bineric-chat,Bineric Chat,https://chat.bineric.com/,Norway,Noruega,NO,Europe,multi-model-platform,unknown,true,true,,,true,ACTIVE,2026-09-10,,,curator-verified
nl-loes,Loes,https://chat.loes.ai/,Netherlands,Países Bajos,NL,Europe,assistant,unknown,true,,,,,ACTIVE,2026-09-10,Netherlands,,verified
